dataset,run_name,lambda_prune_ratio,lambda_div_ratio,mse_stage1_baseline,mse_final,trees_initial,trees_after_weight_prune,trees_final,prune_threshold,corr_threshold
bike,Run 4 (Div Only),0.0000,1.0000,0.0326,0.1637,60,60,18,0.0050,0.9500
bike,Run 4 (Div Only),0.0000,1.0000,0.0326,0.0503,60,60,36,0.0050,0.9700
bike,Run 4 (Div Only),0.0000,1.0000,0.0326,0.8644,60,60,1,0.0010,0.9000
bike,Run 4 (Div Only),0.0000,1.0000,0.0326,0.1637,60,60,18,0.0010,0.9500
bike,Run 4 (Div Only),0.0000,1.0000,0.0326,0.0503,60,60,36,0.0010,0.9700
bike,Run 4 (Div Only),0.0000,1.0000,0.0326,0.8644,60,59,1,0.0100,0.9000
bike,Run 4 (Div Only),0.0000,1.0000,0.0326,0.1797,60,59,17,0.0100,0.9500
bike,Run 4 (Div Only),0.0000,1.0000,0.0326,0.0485,60,59,35,0.0100,0.9700
bike,Run 3 (Prune Only),0.5000,0.0000,0.0326,0.8644,60,41,1,0.0050,0.9000
bike,Run 3 (Prune Only),0.5000,0.0000,0.0326,0.1667,60,41,16,0.0050,0.9500
bike,Run 3 (Prune Only),0.5000,0.0000,0.0326,0.0509,60,41,29,0.0050,0.9700
bike,Run 3 (Prune Only),0.5000,0.0000,0.0326,0.8644,60,57,1,0.0010,0.9000
bike,Run 3 (Prune Only),0.5000,0.0000,0.0326,0.1637,60,57,18,0.0010,0.9500
bike,Run 3 (Prune Only),0.5000,0.0000,0.0326,0.0538,60,57,34,0.0010,0.9700
bike,Run 3 (Prune Only),0.5000,0.0000,0.0326,0.6501,60,28,3,0.0100,0.9000
bike,Run 3 (Prune Only),0.5000,0.0000,0.0326,0.1678,60,28,11,0.0100,0.9500
bike,Run 3 (Prune Only),0.5000,0.0000,0.0326,0.0408,60,28,22,0.0100,0.9700
bike,Run 1 (Full Model),0.5000,0.5000,0.0326,,60,41,0,0.0050,0.9000
bike,Run 1 (Full Model),0.5000,0.5000,0.0326,0.1779,60,41,12,0.0050,0.9500
bike,Run 1 (Full Model),0.5000,0.5000,0.0326,0.0452,60,41,27,0.0050,0.9700
bike,Run 1 (Full Model),0.5000,0.5000,0.0326,0.8644,60,58,1,0.0010,0.9000
bike,Run 1 (Full Model),0.5000,0.5000,0.0326,0.1637,60,58,18,0.0010,0.9500
bike,Run 1 (Full Model),0.5000,0.5000,0.0326,0.0570,60,58,35,0.0010,0.9700
bike,Run 1 (Full Model),0.5000,0.5000,0.0326,0.7978,60,29,1,0.0100,0.9000
bike,Run 1 (Full Model),0.5000,0.5000,0.0326,0.1818,60,29,9,0.0100,0.9500
bike,Run 1 (Full Model),0.5000,0.5000,0.0326,0.0494,60,29,20,0.0100,0.9700
bike,Run 1 (Full Model),0.5000,1.0000,0.0326,,60,40,0,0.0050,0.9000
bike,Run 1 (Full Model),0.5000,1.0000,0.0326,0.1859,60,40,13,0.0050,0.9500
bike,Run 1 (Full Model),0.5000,1.0000,0.0326,0.0572,60,40,25,0.0050,0.9700
bike,Run 1 (Full Model),0.5000,1.0000,0.0326,0.8644,60,54,1,0.0010,0.9000
bike,Run 1 (Full Model),0.5000,1.0000,0.0326,0.1651,60,54,17,0.0010,0.9500
bike,Run 1 (Full Model),0.5000,1.0000,0.0326,0.0483,60,54,34,0.0010,0.9700
bike,Run 1 (Full Model),0.5000,1.0000,0.0326,0.7978,60,28,1,0.0100,0.9000
bike,Run 1 (Full Model),0.5000,1.0000,0.0326,0.2451,60,28,8,0.0100,0.9500
bike,Run 1 (Full Model),0.5000,1.0000,0.0326,0.0720,60,28,17,0.0100,0.9700
bike,Run 3 (Prune Only),1.0000,0.0000,0.0326,0.5811,60,37,2,0.0050,0.9000
bike,Run 3 (Prune Only),1.0000,0.0000,0.0326,0.1562,60,37,9,0.0050,0.9500
bike,Run 3 (Prune Only),1.0000,0.0000,0.0326,0.0436,60,37,21,0.0050,0.9700
bike,Run 3 (Prune Only),1.0000,0.0000,0.0326,0.8644,60,55,1,0.0010,0.9000
bike,Run 3 (Prune Only),1.0000,0.0000,0.0326,0.1716,60,55,16,0.0010,0.9500
bike,Run 3 (Prune Only),1.0000,0.0000,0.0326,0.0442,60,55,32,0.0010,0.9700
bike,Run 3 (Prune Only),1.0000,0.0000,0.0326,0.5985,60,26,1,0.0100,0.9000
bike,Run 3 (Prune Only),1.0000,0.0000,0.0326,0.1575,60,26,7,0.0100,0.9500
bike,Run 3 (Prune Only),1.0000,0.0000,0.0326,0.0546,60,26,15,0.0100,0.9700
